2025-11-12 13:02:59.676571, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.693382, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.694878, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.708510, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.724513, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.725452, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.740531, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.756500, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.757440, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.772812, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.788451, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.804579, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.804958, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.820599, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.836497, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.836768, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.852507, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.868564, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.868959, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.884481, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.901388, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.901850, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.916725, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.932715, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.933684, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.948808, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.964972, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.980771, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.981924, axes: 0.000 0.000, buttons: 
2025-11-12 13:02:59.996722, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.012740, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.013583, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.028772, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.044779, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.045836, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.062620, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.078956, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.079665, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.092771, axes: 0.000 0.000, buttons: 
