2025-11-12 13:02:59.608418, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.608967, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.609335, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.609685, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.613743, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.630380, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.631194, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.647500, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.660673, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.661481, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.676796, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.692996, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.694599, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.709014, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.724902, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.725412, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.741264, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.756815, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.758271, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.773521, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.788595, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.804665, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.805123, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.820767, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.836635, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.836997, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.852572, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.868759, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.869244, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
2025-11-12 13:02:59.884672, pos: 0.122 -0.055 0.000, ori: 0.000 0.000 -0.411 0.912, lin_vel: 2.425 0.000 0.000, ang_vel: 0.000 0.000 -15.382
